PDSS1	CREBRF
PDSS1	CSAD
PDSS1	CTSF
PDSS1	ELF1
PDSS1	MYLIP
PDSS1	NISCH
PDSS1	PJA2
PDSS1	YPEL5
PDSS1	AIFM1
PDSS1	C1orf112
PDSS1	FH
PDSS1	HAT1
PDSS1	MRPS34
PDSS1	RPA3
PDSS1	SRSF2
PDSS1	TIPIN
PDSS2	HGS
PDSS2	MYLIP
PDSS2	SAT1
PDSS2	SMOX
PDSS2	TSPYL2
PDSS2	AIFM1
PDSS2	HAT1
PDSS2	ITGB3BP
PDSS2	RPA3
COQ2	CCS
COQ2	CREBRF
COQ2	CSAD
COQ2	MYLIP
COQ2	PJA2
COQ2	SAT1
COQ2	TSPYL2
COQ2	YPEL5
COQ2	AIFM1
COQ2	C1orf112
COQ2	FH
COQ2	HAT1
COQ2	ITGB3BP
COQ2	RPA3
COQ2	SRSF2
COQ2	TIPIN
COQ4	DSE
COQ4	CCS
COQ4	MRPS34
COQ4	THAP7
COQ5	ASAP1
COQ5	CREBRF
COQ5	ELF1
COQ5	HGS
COQ5	PJA2
COQ5	QKI
COQ5	R3HDM4
COQ5	SRSF2
COQ5	TSPYL2
COQ5	USP9X
COQ5	YPEL5
COQ6	C1orf112
COQ6	DSE
COQ6	QKI
COQ6	R3HDM4
COQ6	SAT1
COQ6	USP9X
COQ6	ZNF267
COQ6	ANTKMT
COQ6	COG4
COQ6	CTSF
COQ6	NISCH
COQ7	CCS
COQ7	HGS
COQ7	R3HDM4
COQ7	SMOX
COQ7	TSPYL2
COQ7	FH
COQ7	ITGB3BP
COQ7	TIPIN
COQ8a	DSE
COQ8a	SMOX
COQ8a	CSAD
COQ8a	CTSF
COQ8b	ASAP1
COQ8b	ELF1
COQ8b	QKI
COQ8b	USP9X
COQ8b	ZNF267
COQ8b	ANTKMT
COQ8b	COG4
COQ8b	CTSF
COQ8b	MRPS34
COQ8b	NISCH
COQ8b	THAP7
COQ9	ASAP1
COQ9	ZNF267
COQ9	ANTKMT
COQ9	COG4
COQ9	NISCH
COQ9	THAP7
